attachment1,attachment2,diffusion1,diffusion2,total,attachment1_norm,attachment2_norm,diffusion1_norm,diffusion2_norm
0,48,89,2615,4118,0.0,0.011656143759106362,0.021612433220009712,0.635016998542982
1,15,63,1912,3037,0.00032927230819888045,0.004939084622983207,0.02074415541652947,0.6295686532762594
1,19,13,1573,2326,0.0004299226139294927,0.00816852966466036,0.005588993981083405,0.676268271711092
0,6,6,369,582,0.0,0.010309278350515464,0.010309278350515464,0.634020618556701
5,201,163,13156,19865,0.0002516989680342311,0.010118298514976089,0.008205386357915933,0.6622703246916688
1,16,11,1509,2367,0.0004224757076468103,0.006759611322348965,0.004647232784114913,0.6375158428390367
0,0,5,0,5,0.0,0.0,1.0,0.0
4,121,133,8818,13340,0.0002998500749625187,0.009070464767616191,0.009970014992503749,0.6610194902548726
1,103,45,6439,10069,9.931472837421789e-05,0.010229417022544443,0.004469162776839806,0.639487536001589
0,0,1,0,1,0.0,0.0,1.0,0.0
3,30,13,2100,3042,0.0009861932938856016,0.009861932938856016,0.004273504273504274,0.6903353057199211
3,127,136,8614,13103,0.00022895520109898496,0.009692436846523697,0.010379302449820651,0.6574067007555522
0,0,1,0,1,0.0,0.0,1.0,0.0
2,142,87,9063,13823,0.00014468639224480938,0.010272733849381465,0.006293858062649208,0.6556463864573537
2,101,80,8202,12505,0.0001599360255897641,0.008076769292283088,0.006397441023590564,0.6558976409436226
0,12,61,956,1529,0.0,0.007848266841072597,0.03989535644211903,0.6252452583387835
0,0,1,0,1,0.0,0.0,1.0,0.0
1,104,66,6580,10377,9.636696540425942e-05,0.010022164402042979,0.006360219716681122,0.6340946323600269
0,13,20,1184,1766,0.0,0.007361268403171008,0.011325028312570781,0.6704416761041903
0,58,43,4114,6536,0.0,0.008873929008567932,0.006578947368421052,0.629436964504284
0,49,52,3519,5237,0.0,0.009356501814015658,0.009929348863853351,0.6719495894596142
3,227,252,16263,24842,0.00012076322357298124,0.009137750583688913,0.010144110780130425,0.6546574349891313
6,203,183,14572,22664,0.0002647370278856336,0.008956936110130603,0.008074479350511825,0.6429579950582421
2,69,37,5560,8564,0.00023353573096683791,0.008056982718355908,0.004320411022886501,0.6492293320878094
0,0,1,0,1,0.0,0.0,1.0,0.0
0,48,62,3147,4901,0.0,0.009793919608243216,0.01265047949398082,0.6421138543154459
4,97,142,7176,11125,0.00035955056179775283,0.008719101123595505,0.012764044943820226,0.6450337078651686
0,3,26,257,362,0.0,0.008287292817679558,0.0718232044198895,0.7099447513812155
2,51,70,3069,4695,0.0004259850905218317,0.010862619808306708,0.014909478168264111,0.6536741214057508
0,0,1,0,1,0.0,0.0,1.0,0.0
4,182,77,12600,19854,0.00020147073637554144,0.009166918505087137,0.003878311675229173,0.6346328195829556
2,100,78,6132,9448,0.00021168501270110075,0.010584250635055038,0.00825571549534293,0.6490262489415749
2,33,63,2271,3462,0.0005777007510109763,0.009532062391681109,0.018197573656845753,0.6559792027729636
1,88,101,6554,9994,0.00010006003602161297,0.008805283169901942,0.01010606363818291,0.6557934760856514
1,42,45,2754,4228,0.00023651844843897824,0.009933774834437087,0.01064333017975402,0.6513718070009461
0,9,30,537,870,0.0,0.010344827586206896,0.034482758620689655,0.6172413793103448
5,109,159,7271,11216,0.0004457917261055635,0.009718259629101283,0.014176176890156919,0.6482703281027105
4,253,147,17894,27469,0.0001456186974407514,0.009210382613127526,0.005351487130947613,0.6514252430012013
8,219,257,15243,23832,0.0003356831151393085,0.00918932527693857,0.010783820073850285,0.6396022155085599
3,119,138,8215,12665,0.00023687327279905252,0.009395973154362415,0.010896170548756415,0.6486379786814055
10,329,265,21439,33050,0.000302571860816944,0.00995461422087746,0.008018154311649017,0.6486838124054463
4,353,189,24236,37410,0.00010692328254477412,0.009435979684576316,0.005052125100240577,0.6478481689387864
0,43,17,2996,4654,0.0,0.00923936398796734,0.00365277180919639,0.6437473141383756
0,0,1,0,1,0.0,0.0,1.0,0.0
0,0,1,0,1,0.0,0.0,1.0,0.0
0,76,50,5222,7851,0.0,0.009680295503757484,0.006368615462998344,0.665138198955547
4,225,222,16606,25102,0.00015934985260138634,0.008963429208827981,0.008843916819376942,0.6615409130746555
1,15,10,788,1176,0.0008503401360544217,0.012755102040816327,0.008503401360544218,0.6700680272108843
4,119,111,8652,13414,0.0002981959147159684,0.00887132846280006,0.008274936633368124,0.6449977635306396
4,52,58,3850,5932,0.0006743088334457181,0.008766014834794335,0.009777478084962913,0.6490222521915037
0,36,20,2417,3851,0.0,0.009348221241236042,0.005193456245131135,0.6276291872240977
2,82,51,6273,9603,0.0002082682495053629,0.00853899822971988,0.005310840362386754,0.6532333645735707
5,183,176,13409,19820,0.0002522704339051463,0.009233097880928355,0.00887991927346115,0.6765388496468214
0,62,87,5296,7992,0.0,0.007757757757757758,0.010885885885885885,0.6626626626626627
